technology,n,stability_mean_pairwise_jaccard,stability_mean_pairwise_jaccard_ci_lo,stability_mean_pairwise_jaccard_ci_hi,final_set_size_mean,final_set_size_median,judge_plausible_rate,judge_not_plausible_rate,judge_n,silver_recall_proxy,silver_ref_size,convergence_mean,runtime_seconds_mean
Superconducting Quantum Computer (Dilution Refrigerator-based),5,0.334645677573317,0.2521231516979296,0.4182780804939448,41.0,7.5,0.5660377358490566,0.4339622641509434,53,0.2631578947368421,38,,
Tablet Press (Rotary Tablet Press),1,0.31275232125880753,0.31016105367841607,0.3153055372088662,156.24489795918367,157.0,,,0,0.5652173913043478,23,,
Tablet Press (Rotary Tablet Press),2,0.3202712618271055,0.2322090830818496,0.4121524525215197,74.3,100.0,0.4666666666666667,0.5333333333333333,30,0.391304347826087,23,,
Tablet Press (Rotary Tablet Press),3,0.33795228812289424,0.2513749372866763,0.42744628908844795,61.2,76.0,0.5,0.5,32,0.30434782608695654,23,,
Tablet Press (Rotary Tablet Press),4,0.3303964042266211,0.2512324084875667,0.40824854624205686,39.63636363636363,9.0,0.3958333333333333,0.6041666666666667,48,0.2608695652173913,23,,
Tablet Press (Rotary Tablet Press),5,0.3994352861710556,0.3013276339659158,0.4974252767070401,32.6,6.0,0.425,0.575,40,0.30434782608695654,23,,
Triple Quadrupole LC–MS Mass Spectrometer,1,0.28528791124849057,0.2821019122837487,0.28851731369526146,194.08,194.0,,,0,0.53125,32,,
Triple Quadrupole LC–MS Mass Spectrometer,2,0.3572089971398483,0.25256830880823783,0.46679096911976525,64.8,59.0,0.5263157894736842,0.4736842105263158,38,0.40625,32,,
Triple Quadrupole LC–MS Mass Spectrometer,3,0.3737285593386879,0.2680979133970227,0.4768729077240443,58.1,10.0,0.5853658536585366,0.41463414634146345,41,0.46875,32,,
Triple Quadrupole LC–MS Mass Spectrometer,4,0.285765468642013,0.2111805675526878,0.36211334105205023,57.5,38.5,0.5208333333333334,0.47916666666666663,48,0.3125,32,,
Triple Quadrupole LC–MS Mass Spectrometer,5,0.3892584002375288,0.3060880593609394,0.46398519395310156,23.8,8.0,0.46808510638297873,0.5319148936170213,47,0.28125,32,,
