technology,config,n,stability_mean_jaccard,not_plausible_rate_occurrence,precision_proxy_occurrence,not_plausible_rate_dedup_canon,precision_proxy_dedup_canon,produced_components_median,silver_recall_proxy,final_convergence_mean,rounds_mean,runtime_seconds
EV Traction Inverter,d2v1v1,2,0.225313,0.000000,1.000000,0.000000,1.000000,4.000000,0.636364,1.000000,1.400000,2557.717
EV Traction Inverter,d3v1v1,3,0.143665,0.057143,0.942857,0.250000,0.750000,4.000000,0.545455,0.913800,2.200000,159.875
EV Traction Inverter,d4v1v1,4,0.133106,0.032258,0.967742,0.111111,0.888889,3.500000,0.727273,0.827500,1.750000,6194.850
EV Traction Inverter,d5v1v1,5,0.175462,0.111111,0.888889,0.100000,0.900000,5.000000,0.818182,0.832000,1.800000,6428.935
Edge AI Inference Box,v1v1v1,1,0.064432,0.000000,1.000000,0.000000,1.000000,2.000000,0.363636,0.892000,1.000000,56.792
Edge AI Inference Box,d2v1v1,2,0.110175,0.000000,1.000000,0.000000,1.000000,5.000000,0.818182,0.870600,1.400000,2557.717
Edge AI Inference Box,d3v1v1,3,0.067381,0.000000,1.000000,0.000000,1.000000,4.000000,0.727273,0.896400,2.200000,159.875
Edge AI Inference Box,d4v1v1,4,0.218818,0.000000,1.000000,0.000000,1.000000,5.000000,0.818182,0.888400,1.800000,6194.850
Edge AI Inference Box,d5v1v1,5,0.168201,0.000000,1.000000,0.000000,1.000000,4.500000,0.636364,0.862750,2.500000,6428.935
Electronic Warfare Jammer Pod,v1v1v1,1,0.192569,0.000000,1.000000,0.000000,1.000000,6.000000,0.473684,0.890000,1.000000,56.792
Electronic Warfare Jammer Pod,d2v1v1,2,0.167366,0.000000,1.000000,0.000000,1.000000,5.000000,0.578947,0.925000,1.600000,2557.717
Electronic Warfare Jammer Pod,d3v1v1,3,0.138912,0.000000,1.000000,0.000000,1.000000,4.000000,0.368421,0.871600,1.800000,159.875
Electronic Warfare Jammer Pod,d4v1v1,4,0.169685,0.024390,0.975610,0.076923,0.923077,7.000000,0.631579,0.871200,1.800000,6194.850
Electronic Warfare Jammer Pod,d5v1v1,5,0.113803,0.000000,1.000000,0.000000,1.000000,5.000000,0.473684,0.800600,2.200000,6428.935
Enterprise Storage Array (SAN),v1v1v1,1,0.072834,0.000000,1.000000,0.000000,1.000000,5.000000,0.500000,0.887000,1.000000,56.792
Enterprise Storage Array (SAN),d2v1v1,2,0.108129,0.000000,1.000000,0.000000,1.000000,4.000000,0.571429,0.885400,1.600000,2557.717
